Common Name,Scientific Name,Continentality,Seasonality,Germination Time,Growth Time (days),N-P-K Ratio,Preferred pH,Row Space (in.),Plant Space (in.),Planting Depth (in.),Inches of Water (Weekly),Water Frequency (days)
Acorn Squash,Cucurbita pepo,North America,Summer,7-10 ,80-100 ,5-10-10,6.0-6.8,48,36,1,1.5-2,3-5
Adzuki Bean,Vigna angularis,Asia,Summer,7-14 ,90-120 ,5-10-10,6.0-6.8,24,4,1,1-1.5,5-7
Ahipa,Pachyrhizus ahipa,South America,Summer,7-14 ,120-150 ,5-10-10,6.0-7.0,24,12,1,1-1.5,5-7
Alfalfa Sprouts,Medicago sativa,Asia,"Spring, Fall",5-7 ,7-14 ,5-5-5,6.0-7.0,12,2,0.25,1-1.5,3-5
All Blue Potato,Solanum tuberosum,South America,Spring,14-21 ,90-120 ,10-10-10,4.8-5.5,36,12,4,1.5-2,5-7
Aloe Vera,Aloe barbadensis,Africa,"Spring, Summer, Fall",14-21 ,365-730 ,5-5-5,6.0-7.0,24,18,0.5,0.5-1,14-21
Amaranth,Amaranthus,Africa,Summer,7-14 ,50-60 ,10-5-5,6.0-7.0,18,12,0.25,1-1.5,5-7
Ambercup Squash,Cucurbita maxima,Africa,Summer,7-10 ,80-100 ,5-10-10,6.0-6.8,48,36,1,1.5-2,3-5
Ambrosia Cantaloupe,Cucumis melo,Africa,Summer,7-10 ,70-90 ,5-10-10,6.0-6.8,60,36,1,1.5-2,3-5
Anise,Pimpinella anisum,Africa,"Spring, Fall",7-14 ,120-150 ,5-5-5,6.0-7.0,18,12,0.25,1-1.5,7-10
Aonori,Monostroma nitidum,Asia,"Spring, Summer",7-14 ,60-90 ,5-5-5,6.0-7.0,N/A,N/A,N/A,N/A,N/A
Arame,Eisenia bicyclis,Asia,"Spring, Summer",7-14 ,90-120 ,5-5-5,6.0-7.0,N/A,N/A,N/A,N/A,N/A
Arikara Squash,Cucurbita maxima,North America,Summer,7-10 ,90-110 ,5-10-10,6.0-6.8,60,48,1,1.5-2,3-5
Arrowroot,Maranta arundinacea,South America,"Spring, Summer",14-21 ,240-300 ,5-10-10,5.5-6.5,36,24,2,1.5-2,3-5
Artichoke,Cynara scolymus,Africa,"Spring, Fall",7-14 ,150-180 ,5-10-10,6.0-7.0,48,36,0.5,1.5-2,5-7
