Hardiness Zone,Spring Planting Period,Summer Planting Period,Autumn Planting Period,Winter Planting Period,
1a,5-6,7-8,8-9,N/A,
1b,5-6,7-8,8-9,N/A,
2a,4-5,6-7,8-9,N/A,
2b,4-5,6-7,8-9,N/A,
3a,4-5,6-8,8-9,N/A,
3b,3-5,6-8,8-9,N/A,
4a,3-5,6-8,8-10,N/A,
4b,3-5,6-8,8-10,N/A,
5a,3-5,6-9,9-10,N/A,
5b,2-5,6-9,9-10,N/A,
6a,2-5,6-9,9-10,N/A,
6b,2-5,6-9,9-10,N/A,
7a,2-5,6-9,9-11,12-2,
7b,2-5,6-9,9-11,12-2,
8a,1-4,5-9,9-11,12-2,
8b,1-4,5-9,9-11,12-2,
9a,1-3,4-9,9-12,12-2,
9b,1-3,4-9,9-12,12-2,
1a,1-3,4-9,9-12,12-2,
1b,1-3,4-9,9-12,12-2,
11a,1-3,4-8,8-12,12-2,
11b,1-3,4-8,8-12,12-2,
12a,1-2,3-7,7-12,12-1,
12b,1-2,3-7,7-12,12-1,
13a,1-2,3-7,7-12,12-1,
13b,1-2,3-7,7-12,12-1,
